club,club_id,number,name,short_name,DoB,poste,lequipe_id
Nantes ,15,31,Gor Manvelyan,G. Manvelyan,09/04/02,Mil.,83378
Nantes ,15,29,Quentin Merlin,Q. Merlin,16/05/02,Mil.,56050
Nantes ,15,18,Samuel Moutoussamy,S. Moutoussamy,12/08/96,Mil.,52550
Nantes ,15,6,Roli Pereira de Sa,R. Pereira de Sa,10/12/96,Mil.,50750
Nantes ,15,20,Jean-Kévin Augustin,J. Augustin,16/06/97,Att.,53360
Nantes ,15,26,Osman Bukari,O. Bukari,13/12/98,Att.,83670
Nantes ,15,7,Kalifa Coulibaly,K. Coulibaly,21/08/91,Att.,43682
Nantes ,15,19,Willem Geubbels,W. Geubbels,16/08/01,Att.,63644
Nantes ,15,23,Randal Kolo Muani,R. Kolo Muani,05/12/98,Att.,59526
Nantes ,15,27,Moses Daddy Simon,M. Simon,12/07/95,Att.,55845
Strasbourg ,13,36,Alaa Bellaarouch,A. Bellaarouch,01/01/02,Gar.,83980
Strasbourg ,13,16,Eiji Kawashima,E. Kawashima,20/03/83,Gar.,36275
Strasbourg ,13,1,Matz Sels,M. Sels,26/02/92,Gar.,38393
Strasbourg ,13,19,Anthony Caci,A. Caci,01/07/97,Déf.,60746
Strasbourg ,13,24,Alexander Djiku,A. Djiku,09/08/94,Déf.,47894
Strasbourg ,13,33,Marvin Elimbi Gilbert,M. Elimbi Gilbert,20/02/03,Déf.,86572
Strasbourg ,13,4,Karol Fila,K. Fila,13/06/98,Déf.,75474
Strasbourg ,13,2,Frédéric Guilbert,F. Guilbert,24/12/94,Déf.,45756
Strasbourg ,13,23,Maxime Le Marchand,M. Le Marchand,11/10/89,Déf.,33120
Strasbourg ,13,22,Gerzino Nyamsi,G. Nyamsi,22/01/97,Déf.,61882
Strasbourg ,13,,Abdoulaye Ousmane,A. Ousmane,22/02/00,Déf.,76087
Strasbourg ,13,5,Lucas Perrin,L. Perrin,19/11/98,Déf.,58394
Strasbourg ,13,37,Aymeric Ahmed,A. Ahmed,08/11/03,Mil.,91216
Strasbourg ,13,6,Jean-Eudes Aholou,J. Aholou,20/03/94,Mil.,48281
Strasbourg ,13,,Ahmed Aymeric,A. Aymeric,08/11/03,Mil.,89511
Strasbourg ,13,17,Jean-Ricner Bellegarde,J. Bellegarde,27/06/98,Mil.,58061
Strasbourg ,13,,Benjamin Besic,B. Besic,02/06/02,Mil.,83547
Strasbourg ,13,33,Mouhamadou Diarra,M. Diarra,03/01/04,Mil.,91135
Strasbourg ,13,34,Nordine Kandil,N. Kandil,30/10/01,Mil.,91554
Strasbourg ,13,11,Dimitri Liénard,D. Liénard,13/02/88,Mil.,37283
Strasbourg ,13,14,Sanjin Prcic,S. Prcic,20/11/93,Mil.,36991
Strasbourg ,13,27,Ibrahima Sissoko,I. Sissoko,27/10/97,Mil.,58469
Strasbourg ,13,33,Noé Sommer,N. Sommer,17/06/01,Mil.,84565
Strasbourg ,13,10,Adrien Thomasson,A. Thomasson,10/12/93,Mil.,45466
Strasbourg ,13,25,Ludovic Ajorque,L. Ajorque,25/02/94,Att.,53977
Strasbourg ,13,20,Habib Diallo,H. Diallo,18/06/95,Att.,54331
Strasbourg ,13,,Habib Diarra,H. Diarra,03/01/04,Att.,91215
Strasbourg ,13,9,Kévin Gameiro,K. Gameiro,09/05/87,Att.,23364
Strasbourg ,13,31,Moïse Dion Sahi,M. Sahi,20/12/01,Att.,87202
Strasbourg ,13,8,Abdul Majeed Waris,A. Waris,19/09/91,Att.,47957
Paris-SG (PSG) ,26,50,Gianluigi Donnarumma,G. Donnarumma,25/02/99,Gar.,56792
Rennes ,14,40,Dogan Alemdar,D. Alemdar,29/10/02,Gar.,70275
Montpellier ,17,16,Dimitry Bertaud,D. Bertaud,06/06/98,Gar.,55640
Troyes ,30,1,Ryan Bouallak,R. Bouallak,19/08/99,Gar.,67652
Paris-SG (PSG) ,26,,Garissone Innocent,G. Innocent,16/04/00,Gar.,70145
Paris-SG (PSG) ,26,60,Alexandre Letellier,A. Letellier,11/12/90,Gar.,36512
Paris-SG (PSG) ,26,1,Keylor Navas,K. Navas,15/12/86,Gar.,35349
Paris-SG (PSG) ,26,14,Juan Bernat,J. Bernat,01/03/93,Déf.,43327
Paris-SG (PSG) ,26,31,El Chadaille Bitshiabu,E. Bitshiabu,16/05/05,Déf.,82555
Paris-SG (PSG) ,26,17,Colin Dagba,C. Dagba,09/09/98,Déf.,59115
Paris-SG (PSG) ,26,22,Abdou Diallo,A. Diallo,04/05/96,Déf.,50508
Paris-SG (PSG) ,26,2,Achraf Hakimi,A. Hakimi,04/11/98,Déf.,62473
Paris-SG (PSG) ,26,24,Thilo Kehrer,T. Kehrer,21/09/96,Déf.,56086
Paris-SG (PSG) ,26,3,Presnel Kimpembe,P. Kimpembe,13/08/95,Déf.,50744
Paris-SG (PSG) ,26,20,Layvin Kurzawa,L. Kurzawa,04/09/92,Déf.,36660
Rennes ,14,30,Pepe Bonet,P. Bonet,13/02/03,Gar.,77551
Rennes ,14,16,Alfred Gomis,A. Gomis,05/09/93,Gar.,46865
Rennes ,14,1,Romain Salin,R. Salin,29/07/84,Gar.,20417
Rennes ,14,6,Nayef Aguerd,N. Aguerd,30/03/96,Déf.,69535
Rennes ,14,22,Lorenz Assignon,L. Assignon,22/06/00,Déf.,84002
Rennes ,14,4,Loïc Badé,L. Badé,11/04/00,Déf.,68185
Rennes ,14,,Jérémy Gélin,J. Gélin,24/04/97,Déf.,58130
Rennes ,14,25,Birger Meling,B. Meling,17/12/94,Déf.,65332
Rennes ,14,23,Warmed Omari,W. Omari,23/04/00,Déf.,82656
Rennes ,14,27,Hamari Traoré,H. Traoré,27/01/92,Déf.,46374
Rennes ,14,3,Adrien Truffert,A. Truffert,20/11/01,Déf.,82608
Montpellier ,17,30,Matis Carvalho,M. Carvalho,28/04/99,Gar.,71248
Montpellier ,17,1,Jonas Omlin,J. Omlin,10/01/94,Gar.,53388
Montpellier ,17,31,Nicolas Cozza,N. Cozza,08/01/99,Déf.,61762
Montpellier ,17,14,Maxime Estève,M. Estève,26/05/02,Déf.,78027
Montpellier ,17,,Redouane Halhal,R. Halhal,05/03/03,Déf.,90800
Montpellier ,17,5,Pedro Mendes,P. Mendes,01/10/90,Déf.,48186
Montpellier ,17,8,Ambroise Oyongo,A. Oyongo,22/06/91,Déf.,54929
Montpellier ,17,7,Mihailo Ristic,M. Ristic,31/10/95,Déf.,61597
Montpellier ,17,3,Mamadou Sakho,M. Sakho,13/02/90,Déf.,26642
Montpellier ,17,2,Arnaud Souquet,A. Souquet,12/02/92,Déf.,33372
Troyes ,30,30,Gauthier Gallon,G. Gallon,23/04/93,Gar.,41996
Troyes ,30,,Ronan Jay,R. Jay,25/04/01,Gar.,71897
Troyes ,30,40,Jessy Moulin,J. Moulin,13/01/86,Gar.,22556
Troyes ,30,16,Sébastien Rénot,S. Rénot,11/11/89,Gar.,36210
Troyes ,30,,Benrandy Abdallah,B. Abdallah,01/07/99,Déf.,70774
Troyes ,30,,Enzo Alfatahi,E. Alfatahi,09/07/03,Déf.,84496
Troyes ,30,4,Giulian Biancone,G. Biancone,31/03/00,Déf.,71203
Troyes ,30,12,Abdu Conté,A. Conté,24/03/98,Déf.,72009
Troyes ,30,19,Oualid El-Hajjam,O. El-Hajjam,19/02/91,Déf.,32762
Troyes ,30,8,Jimmy Giraudon,J. Giraudon,16/01/92,Déf.,37189
Troyes ,30,29,Issa Kaboré,I. Kaboré,12/05/01,Déf.,77593
Saint-Étienne (ASSE) ,38,1,Stefan Bajic,S. Bajic,23/12/01,Gar.,70139
Reims ,211,16,Yehvann Diouf,Y. Diouf,16/11/99,Gar.,60747
Nice ,46,40,Walter Benitez,W. Benitez,19/01/93,Gar.,59550
Paris-SG (PSG) ,26,5,Marquinhos,Marquinhos,14/05/94,Déf.,46961
Paris-SG (PSG) ,26,25,Nuno Mendes,N. Mendes,19/06/02,Déf.,76513
Paris-SG (PSG) ,26,4,Sergio Ramos,S. Ramos,30/03/86,Déf.,20248
Paris-SG (PSG) ,26,39,Nathan Bitumazala,N. Bitumazala,10/12/02,Mil.,89618
Paris-SG (PSG) ,26,11,Angel Di Maria,A. Di Maria,14/02/88,Mil.,27703
Paris-SG (PSG) ,26,28,Eric Junior Dina Ebimbe,E. Dina Ebimbe,21/11/00,Mil.,69864
Paris-SG (PSG) ,26,23,Julian Draxler,J. Draxler,20/09/93,Mil.,40344
Paris-SG (PSG) ,26,35,Ismaël Gharbi,I. Gharbi,10/04/04,Mil.,87213
Paris-SG (PSG) ,26,27,Idrissa Gueye,I. Gueye,26/09/89,Mil.,32874
Paris-SG (PSG) ,26,21,Ander Herrera,A. Herrera,14/08/89,Mil.,33993
Paris-SG (PSG) ,26,38,Edouard Michut,E. Michut,04/03/03,Mil.,82557
Rennes ,14,33,Jeanuël Belocian,J. Belocian,17/02/05,Mil.,94162
Rennes ,14,14,Benjamin Bourigeaud,B. Bourigeaud,14/01/94,Mil.,46363
Rennes ,14,,Noah Françoise,N. Françoise,05/07/03,Mil.,88825
Rennes ,14,21,Lovro Majer,L. Majer,17/01/98,Mil.,63390
Rennes ,14,28,Jonas Martin,J. Martin,09/04/90,Mil.,32111
Rennes ,14,,Isaac Matondo,I. Matondo,24/03/99,Mil.,62984
Rennes ,14,,Trésor Matondo,T. Matondo,24/07/03,Mil.,93835
Rennes ,14,8,Baptiste Santamaria,B. Santamaria,09/03/95,Mil.,51661
Rennes ,14,20,Flavien Tait,F. Tait,02/02/93,Mil.,48782
Rennes ,14,26,Lesley Ugochukwu,L. Ugochukwu,26/03/04,Mil.,82657
Rennes ,14,19,Andy Diouf,A. Diouf,17/05/03,Att.,87421
Montpellier ,17,22,Mathias Suarez,M. Suarez,24/06/96,Déf.,71137
Montpellier ,17,17,Thibault Tamas,T. Tamas,20/02/01,Déf.,75914
Montpellier ,17,26,Thuler,Thuler,10/03/99,Déf.,73152
Montpellier ,17,,Gabriel Bares,G. Bares,29/08/00,Mil.,83383
Montpellier ,17,13,Joris Chotard,J. Chotard,24/09/01,Mil.,76697
Montpellier ,17,,Sacha Delaye,S. Delaye,23/04/02,Mil.,77122
Montpellier ,17,12,Jordan Ferri,J. Ferri,12/03/92,Mil.,36628
Montpellier ,17,18,Léo Leroy,L. Leroy,14/02/00,Mil.,72120
Montpellier ,17,25,Florent Mollet,F. Mollet,19/11/91,Mil.,45598
Montpellier ,17,6,Junior Salomon Sambia,J. Sambia,07/09/96,Mil.,53621
Montpellier ,17,11,Téji Savanier,T. Savanier,22/12/91,Mil.,33063
Troyes ,30,,Ruddy Kohon,R. Kohon,23/05/04,Déf.,90642
Troyes ,30,3,Youssouf Koné,Y. Koné,05/07/95,Déf.,50743
Troyes ,30,22,Yasser Larouci,Y. Larouci,01/01/01,Déf.,76319
Troyes ,30,2,Erik Palmer-Brown,E. Palmer-Brown,24/04/97,Déf.,67058
Troyes ,30,23,Adil Rami,A. Rami,27/12/85,Déf.,26847
Troyes ,30,17,Yoann Salmier,Y. Salmier,21/11/92,Déf.,53771
Troyes ,30,35,Tanguy Zoukrou,T. Zoukrou,07/05/03,Déf.,90643
Troyes ,30,15,Karim Azamoum,K. Azamoum,17/01/90,Mil.,39609
Troyes ,30,14,Dylan Chambost,D. Chambost,19/08/97,Mil.,66890
Troyes ,30,24,Xavier Chavalerin,X. Chavalerin,07/03/91,Mil.,35862
Saint-Étienne (ASSE) ,38,,Paul Bernardoni,P. Bernardoni,18/04/97,Gar.,53623
Saint-Étienne (ASSE) ,38,16,Boubacar Fall,B. Fall,03/02/01,Gar.,85655
Saint-Étienne (ASSE) ,38,40,Etienne Green,E. Green,19/07/00,Gar.,76752
Saint-Étienne (ASSE) ,38,,Nabil Ouennas,N. Ouennas,12/07/03,Gar.,87203
Saint-Étienne (ASSE) ,38,,Abdoulaye Bakayoko,A. Bakayoko,15/12/02,Déf.,86331
Saint-Étienne (ASSE) ,38,34,Lucas Calodat,L. Calodat,06/02/02,Déf.,76995
Saint-Étienne (ASSE) ,38,,Joris Gnagnon,J. Gnagnon,13/01/97,Déf.,58224
Saint-Étienne (ASSE) ,38,5,Timothée Kolodziejczak,T. Kolodziejczak,01/10/91,Déf.,29821
Saint-Étienne (ASSE) ,38,,Steven Leleux,S. Leleux,,Déf.,76753
Saint-Étienne (ASSE) ,38,,Lucas Llort,L. Llort,08/06/99,Déf.,75983
Reims ,211,30,Nicolas Penneteau,N. Penneteau,28/02/81,Gar.,2873
Reims ,211,1,Predrag Rajkovic,P. Rajkovic,31/10/95,Gar.,50247
Reims ,211,5,Yunis Abdelhamid,Y. Abdelhamid,28/09/87,Déf.,44579
Reims ,211,4,Maxime Busi,M. Busi,14/10/99,Déf.,69475
Reims ,211,,Ibrahim Diakité,I. Diakité,31/10/03,Déf.,90675
Reims ,211,2,Wout Faes,W. Faes,03/04/98,Déf.,59812
Reims ,211,32,Thomas Foket,T. Foket,25/09/94,Déf.,46078
Reims ,211,6,Andreaw Gravillon,A. Gravillon,08/02/98,Déf.,58671
Reims ,211,3,Ghislain Konan,G. Konan,27/12/95,Déf.,62090
Reims ,211,28,Bradley Locko,B. Locko,06/05/02,Déf.,81581
Reims ,211,29,Moustapha Mbow,M. Mbow,08/03/00,Déf.,88602
Nice ,46,16,Teddy Boulhendi,T. Boulhendi,09/04/01,Gar.,71043
Nice ,46,1,Marcin Bulka,M. Bulka,04/10/99,Gar.,65095
Nice ,46,,Ange Ahoussou,A. Ahoussou,22/12/03,Déf.,93959
Nice ,46,12,Jordan Amavi,J. Amavi,09/03/94,Déf.,50469
Nice ,46,20,Youcef Atal,Y. Atal,17/05/96,Déf.,65925
Nice ,46,26,Melvin Bard,M. Bard,06/11/00,Déf.,66131
Nice ,46,,Noah Crétier,N. Crétier,14/11/01,Déf.,75179
Nice ,46,5,Flavius Daniliuc,F. Daniliuc,27/04/01,Déf.,82013
Nice ,46,4,Dante,Dante,18/10/83,Déf.,20255
Nice ,46,23,Jordan Mvula Lotomba,J. Lotomba,29/09/98,Déf.,59612
Nice ,46,,Antoine Mendy,A. Mendy,27/05/04,Déf.,87417
Paris-SG (PSG) ,26,8,Leandro Paredes,L. Paredes,29/06/94,Mil.,47797
Paris-SG (PSG) ,26,15,Danilo Pereira,D. Pereira,09/09/91,Mil.,41511
Paris-SG (PSG) ,26,34,Xavi Simons,X. Simons,21/04/03,Mil.,76045
Paris-SG (PSG) ,26,6,Marco Verratti,M. Verratti,05/11/92,Mil.,45183
Paris-SG (PSG) ,26,18,Georginio Wijnaldum,G. Wijnaldum,11/11/90,Mil.,255000000000000000000025727
Paris-SG (PSG) ,26,9,Mauro Icardi,M. Icardi,19/02/93,Att.,46869
Paris-SG (PSG) ,26,7,Kylian Mbappé,K. Mbappé,20/12/98,Att.,58221
Paris-SG (PSG) ,26,30,Lionel Messi,L. Messi,24/06/87,Att.,21740
Paris-SG (PSG) ,26,10,Neymar,Neymar,05/02/92,Att.,39792
Rennes ,14,11,Jérémy Doku,J. Doku,27/05/02,Att.,71200
Rennes ,14,,Metehan Güçlü,M. Güçlü,02/04/99,Att.,62669
Rennes ,14,9,Serhou Guirassy,S. Guirassy,12/03/96,Att.,51662
Rennes ,14,,Junior Kadile,J. Kadile,16/12/02,Att.,82658
Rennes ,14,24,Gaëtan Laborde,G. Laborde,03/05/94,Att.,42261
Rennes ,14,10,Kamaldeen Sulemana,K. Sulemana,15/02/02,Att.,89824
Rennes ,14,17,Loum Tchaouna,L. Tchaouna,08/09/03,Att.,88826
Rennes ,14,39,Mathys Tel,M. Tel,27/04/05,Att.,91048
Rennes ,14,7,Martin Terrier,M. Terrier,04/03/97,Att.,60487
Montpellier ,17,21,Sepe Elye Wahi,S. Wahi,02/01/03,Mil.,77123
Montpellier ,17,,Adil Ben Achour,A. Ben Achour,01/02/02,Att.,83224
Montpellier ,17,9,Valère Germain,V. Germain,17/04/90,Att.,20221
Montpellier ,17,23,Nicholas Gioacchini,N. Gioacchini,25/07/00,Att.,77590
Montpellier ,17,20,Yanis Guermouche,Y. Guermouche,15/04/01,Att.,77942
Montpellier ,17,28,Béni Makouana,B. Makouana,28/09/02,Att.,84457
Montpellier ,17,10,Stephy Mavididi,S. Mavididi,31/05/98,Att.,61920
Troyes ,30,5,Tristan Dingomé,T. Dingomé,17/02/91,Mil.,36636
Troyes ,30,,Bachir Diop,B. Diop,21/08/02,Mil.,94156
Troyes ,30,27,Brandon Domingues,B. Domingues,06/06/00,Mil.,82663
Troyes ,30,,Ryan Fage,R. Fage,31/10/03,Mil.,86142
Troyes ,30,6,Rominigue Kouamé N'Guessan,R. Kouamé. . . ,17/12/96,Mil.,60749
Troyes ,30,,Eden Massouema,E. Massouema,29/06/97,Mil.,60018
Troyes ,30,,Derek Mazou Sacko,D. Mazou Sacko,06/10/04,Mil.,90645
Troyes ,30,31,Metinho,Metinho,23/04/03,Mil.,87695
Troyes ,30,,Anas Namri,A. Namri,12/11/01,Mil.,94157
Troyes ,30,20,Renaud Ripart,R. Ripart,14/03/93,Mil.,44013
Saint-Étienne (ASSE) ,38,27,Yvann Maçon,Y. Maçon,01/10/98,Déf.,68128
Saint-Étienne (ASSE) ,38,,Eliaquim Mangala,E. Mangala,13/02/91,Déf.,32123
Saint-Étienne (ASSE) ,38,2,Harold Moukoudi,H. Moukoudi,27/11/97,Déf.,57075
Saint-Étienne (ASSE) ,38,3,Mickael Nadé,M. Nadé,04/03/99,Déf.,63126
Saint-Étienne (ASSE) ,38,31,Bryan Nokoue,B. Nokoue,23/05/02,Déf.,71399
Saint-Étienne (ASSE) ,38,11,Gabriel Silva,G. Silva,13/05/91,Déf.,44649
Saint-Étienne (ASSE) ,38,22,Nelson Alpha Sissoko,N. Sissoko,07/03/97,Déf.,65769
Saint-Étienne (ASSE) ,38,5,Saïdou Sow,S. Sow,04/07/02,Déf.,82597
Saint-Étienne (ASSE) ,38,13,Miguel Trauco,M. Trauco,25/08/92,Déf.,53224
Saint-Étienne (ASSE) ,38,,Marvin Tshibuabua,M. Tshibuabua,08/01/02,Déf.,70291
Reims ,211,35,Enzo Valentim,E. Valentim,11/09/00,Déf.,68125
Reims ,211,28,Anthony Weber,A. Weber,11/06/87,Déf.,25676
Reims ,211,35,Martin Adeline,M. Adeline,02/12/03,Mil.,83568
Reims ,211,14,Valon Berisha,V. Berisha,07/02/93,Mil.,45639
Reims ,211,,Jens Cajuste,J. Cajuste,10/08/99,Mil.,83709
Reims ,211,23,Moreto Cassama,M. Cassama,16/02/98,Mil.,72008
Reims ,211,,Noa Cervantes,N. Cervantes,16/04/03,Mil.,83203
Reims ,211,34,Kamory Doumbia,K. Doumbia,18/02/03,Mil.,92758
Reims ,211,25,Moussa Doumbia,M. Doumbia,15/08/94,Mil.,60390
Reims ,211,20,Ilan Kais Kebbal,I. Kebbal,10/07/98,Mil.,41060
Nice ,46,,Théo Pionnier-Bertrand,T. Pionnier-Ber. . . ,21/01/02,Déf.,83919
Nice ,46,25,Jean-Clair Todibo,J. Todibo,30/12/99,Déf.,69763
Nice ,46,,Danilo Barbosa,D. Barbosa,28/02/96,Mil.,53807
Nice ,46,28,Hicham Boudaoui,H. Boudaoui,23/09/99,Mil.,75538
Nice ,46,,Soudeysse Kari,S. Kari,07/02/02,Mil.,75360
Nice ,46,18,Mario Lemina,M. Lemina,01/09/93,Mil.,39604
Nice ,46,8,Pablo Rosario,P. Rosario,07/01/97,Mil.,61748
Nice ,46,6,Morgan Schneiderlin,M. Schneiderlin,08/11/89,Mil.,25862
Nice ,46,33,Justin Smith,J. Smith,04/02/03,Mil.,91006
Nice ,46,19,Khephren Thuram,K. Thuram,26/03/01,Mil.,70135
Paris-SG (PSG) ,26,,Sekou Yansané,S. Yansané,28/04/03,Att.,91762
Monaco ,25,40,Yann Liénard,Y. Liénard,16/03/03,Gar.,83968
Troyes ,30,26,Patrick Roberts,P. Roberts,05/02/97,Mil.,52690
Troyes ,30,11,Gerson Rodrigues,G. Rodrigues,20/06/95,Mil.,62843
Troyes ,30,,Lassine Soumaoro,L. Soumaoro,19/12/02,Mil.,94280
Troyes ,30,10,Florian Tardieu,F. Tardieu,22/04/92,Mil.,45569
Troyes ,30,25,Mama Baldé,M. Baldé,06/11/95,Att.,64000
Troyes ,30,34,Mamadou Camara,M. Camara,07/02/01,Att.,86139
Troyes ,30,28,Nassim Chadli,N. Chadli,28/07/01,Att.,72137
Troyes ,30,,Alexis Lefebvre,A. Lefebvre,21/05/03,Att.,86141
Troyes ,30,12,Lebo Mothiba,L. Mothiba,28/01/96,Att.,55681
Troyes ,30,9,Hyun-jun Suk,H. Suk,29/06/91,Att.,35942
Saint-Étienne (ASSE) ,38,17,Adil Aouchiche,A. Aouchiche,15/07/02,Mil.,75902
Saint-Étienne (ASSE) ,38,,Louka Aymar,L. Aymar,25/01/00,Mil.,88831
Saint-Étienne (ASSE) ,38,15,Bilal Benkhedim,B. Benkhedim,20/04/01,Mil.,68335
Saint-Étienne (ASSE) ,38,7,Ryad Boudebouz,R. Boudebouz,19/02/90,Mil.,255000000000000000000025406
Saint-Étienne (ASSE) ,38,8,Mahdi Camara,M. Camara,30/06/98,Mil.,66694
Saint-Étienne (ASSE) ,38,25,Assane Diousse,A. Diousse,20/09/97,Mil.,55932
Saint-Étienne (ASSE) ,38,,Baptiste Gabard,B. Gabard,28/01/00,Mil.,77125
Saint-Étienne (ASSE) ,38,36,Lamine Ghezali,L. Ghezali,06/07/99,Mil.,63036
Saint-Étienne (ASSE) ,38,6,Lucas Gourna-Douath,L. Gourna-Douath,05/08/03,Mil.,78366
Saint-Étienne (ASSE) ,38,21,Romain Hamouma,R. Hamouma,29/03/87,Mil.,26057
Reims ,211,26,Dion Lopy,D. Lopy,02/02/02,Mil.,84009
Reims ,211,21,Azor Matusiwa,A. Matusiwa,28/04/98,Mil.,68120
Reims ,211,15,Marshall Munetsi,M. Munetsi,22/06/96,Mil.,75594
Reims ,211,,Moïse Sakava,M. Sakava,26/12/00,Mil.,75192
Reims ,211,33,Sambou Sissoko,S. Sissoko,27/04/99,Mil.,64659
Reims ,211,19,Mitchell Van Bergen,M. Van Bergen,27/08/99,Mil.,58598
Reims ,211,10,Arber Zeneli,A. Zeneli,25/02/95,Mil.,58834
Reims ,211,17,Anastasios Donis,A. Donis,29/08/96,Att.,58053
Reims ,211,22,Hugo Ekitike,H. Ekitike,20/06/02,Att.,76750
Reims ,211,12,Alexis Flips,A. Flips,18/01/00,Att.,63176
Reims ,211,18,Fraser Hornby,F. Hornby,13/09/99,Att.,66241
Nice ,46,,Paul Wade,P. Wade,17/04/00,Mil.,67821
Nice ,46,10,Alexis Claude-Maurice,A. Claude-Maurice,06/06/98,Att.,56229
Nice ,46,7,Andy Delort,A. Delort,09/10/91,Att.,34031
Nice ,46,9,Kasper Dolberg,K. Dolberg,06/10/97,Att.,59821
Nice ,46,11,Amine Gouiri,A. Gouiri,16/02/00,Att.,60094
Nice ,46,24,Evann Guessand,E. Guessand,01/07/01,Att.,69899
Nice ,46,21,Justin Kluivert,J. Kluivert,05/05/99,Att.,62101
